name,credit,personal,corp
엔에이치투자증권(주)신탁부11,1,0,0
엔에이치투자증권(주)신탁부107,1,0,0
엔에이치투자증권(주)신탁부106,1,0,0
엔에이치투자증권(주)신탁부105,1,0,0
엔에이치투자증권(주)신탁부103,1,0,0
엔에이치투자증권(주)신탁부102,1,0,0
엔에이치투자증권(주)신탁부101,1,0,0
엔에이치투자증권(주)신탁부100,1,0,0
엔에이치투자증권(주)신탁부10,1,0,0
엔에이치투자증권(주)신탁부1,1,0,0
에프이푸른하늘대부,1,0,0
에이스자산대부유한회사,1,0,0
에스피에셋대부(유),1,0,0
에스플러스자산관리(유),1,0,0
에스엔피엘대부,1,0,0
아이비케이투자증권재산신탁팀4,1,0,0
아이비케이투자증권재산신탁팀3,1,0,0
아이비케이투자증권재산신탁팀2,1,0,0
아이비케이투자증권재산신탁팀1,1,0,0
아름비바 자산관리(주),1,0,0
씨엠자산관리대부유한회사,1,0,0
신한투자증권신탁부13,1,0,0
신한투자증권(주)신탁부9,1,0,0
신한투자증권(주)신탁부8,1,0,0
신한투자증권(주)신탁부6,1,0,0
신한투자증권(주)신탁부5,1,0,0
신한투자증권(주)신탁부4,1,0,0
신한투자증권(주)신탁부3,1,0,0
신한투자증권(주)신탁부2,1,0,0
신한투자증권(주)신탁부12,1,0,0
신한투자증권(주)신탁부11,1,0,0
신한투자증권(주)신탁부10,1,0,0
스카이대부자산관리(유),1,0,0
순수라이프(주),1,0,0
수협은행 신탁사업본부,1,0,0
소상공인자영업자새출발기금(주),1,1,1
새마을금고자산관리회사,1,0,0
새도약기금(주),1,0,0
상생자산관리대부(주),1,0,0
비젼에셋대부,1,0,0
바른에셋대부(유),1,0,0
리온대부파트너스(유),1,0,0
디엔피에이엠씨대부(주),1,0,0
디비에스대부유한회사,1,0,0
디벨롭엔피엘대부(유),1,0,0
동환대부(주),1,0,0
동양대부자산관리(주),1,0,0
더하우징대부(주),1,0,0
대부베이(유),1,0,0
다올자산관리대부(주),1,0,0
농협자산관리회사,1,0,0
김성수(솔로몬자산관리대부),1,0,0
굿플러스대부(주),1,0,0
국민행복기금(소액대부),1,1,0
교보증권(주)재산신탁부,1,0,0
강남자산대부(주),1,0,0
(주)한아름에셋대부,1,0,0
(주)하나은행신탁부03,1,0,0
(주)하나은행신탁부02,1,0,0
(주)하나은행신탁부01,1,0,0
(주)파인텔,1,0,0
(주)파인스엔피엘대부,1,0,0
(주)케이알앤씨,1,0,0
(주)카이로스대부,1,0,0
(주)제이앤피리얼에셋대부,1,0,0
(주)정대부,1,0,0
(주)장량,1,0,0
(주)웰스2,1,0,0
(주)우드랜드,1,0,0
(주)엠에스자산관리대부,1,0,0
(주)엘에스에이엠씨대부,1,0,0
(주)에프피홀딩스,1,0,0
(주)에이치제이원대부,1,0,0
(주)에스에이치이차대부,1,0,0
(주)에스에이치아이엠자산관리대부추심,1,0,0
(주)에스에이치삼차대부,1,0,0
(주)아이플래닝대부,1,0,0
(주)아레스일차대부,1,0,0
(주)씨앤피에이엠씨대부,1,0,0
(주)서울캐싱대부,1,0,0
(주)비원투홀딩스,1,0,0
(주)뱅가즈대부넷,1,0,0
(주)링크,1,0,0
(주)디에이치에이엠씨대부,1,0,0
(주)대부해나올,1,0,0
(주)금보에이엠씨,1,0,0
(주)국민행복기금,1,1,0
(유)한성에셋대부,1,0,0
(유)트러스트에셋대부,1,0,0
(유)유니크인베스트먼트대부,1,0,0
(유)엠콜대부,1,0,0
(유)가우리에셋대부,1,0,0
한국여성경제인협회,1,0,0
한국법무보호복지공단,1,0,0
사회복지법인 해피월드복지재단,1,0,0
사회복지법인 열매나눔재단,1,0,0
사회복지법인 서울가톨릭사회복지회,1,0,0
(재)함께일하는재단,1,0,0
(재)하나미소금융재단,1,1,0
(재)엘지미소금융재단,1,1,0
(사)현대차미소금융재단,1,1,0
(사)함께하는인천사람들,1,0,0
(사)함께일하는사람들,1,0,0
